Plot,Lon,Lat,Stand,Trees,Date,Time_CAL,Time_FS,TIME_ARB
4,-93.04858739,32.74666953,Open,2,26-Jul,76.97,31.04,35
17,-93.04593164,32.74666953,Dense,6,20-Jul,143.4,52.34,65.34
18,-93.04920026,32.74684156,Open,2,26-Jul,75.08,33.09,44.85
31,-93.0465445,32.74684156,Dense,7,20-Jul,136.91,61.64,52.24
48,-93.0465445,32.7470136,Dense,6,20-Jul,137.53,63.27,46.11
52,-93.04920026,32.74718564,Open,2,26-Jul,73.47,37.69,47.41
68,-93.04593164,32.74718564,Dense,6,20-Jul,133.89,45.66,45.9
78,-93.04736166,32.74735767,Open,2,26-Jul,78.81,28.88,30.01
86,-93.04920026,32.74752971,Open,3,26-Jul,102.4,40.38,60.93
90,-93.04838311,32.74752971,Open,1,26-Jul,35.65,18.93,17.77
100,-93.04634022,32.74752971,Dense,7,20-Jul,184.87,57.38,60.57
103,-93.04920026,32.74770174,Open,1,26-Jul,31.82,11.61,16.96
114,-93.04695308,32.74770174,Open,2,26-Jul,61.18,36.74,43.45
119,-93.04593164,32.74770174,Dense,12,20-Jul,278.36,90.55,97.61
121,-93.04899597,32.74787378,Open,2,26-Jul,53.73,28.02,52.9
126,-93.04797453,32.74787378,Open,2,26-Jul,52.73,30.34,39.95
131,-93.04695308,32.74787378,Open,3,26-Jul,83.43,38.74,48.2
148,-93.04695308,32.74804581,Open,1,31-Jul,19.1,13.59,12.44
158,-93.04838311,32.74821784,Open,3,31-Jul,93.76,43.62,31.81
162,-93.04756595,32.74821784,Open,4,31-Jul,135.46,63.68,62.18
168,-93.04634022,32.74821784,Dense,6,20-Jul,148.65,61.24,81.36
172,-93.04899597,32.74838988,Open,3,31-Jul,82.45,56.12,43.63
173,-93.04879168,32.74838988,Open,2,31-Jul,69.28,26.52,24.96
193,-93.04817882,32.74856191,Open,3,28-Jul,126.09,47.82,62.66
227,-93.04817882,32.74890598,Open,3,28-Jul,108.99,43.02,73.26
240,-93.04899597,32.74907801,Open,4,28-Jul,132.52,69.47,72.26
251,-93.04674879,32.74907801,Open,8,28-Jul,262.44,75.77,81.64
266,-93.04715737,32.74925004,Open,5,28-Jul,139.76,96.08,86.25
277,-93.04838311,32.74942207,Open,3,28-Jul,68.69,35.9,33.85
278,-93.04817882,32.74942207,Open,5,28-Jul,119.08,66.56,61.83
